,0
0,0.72
1,0.88
2,0.8
3,0.88
4,0.92
5,0.88
6,0.68
7,0.8
8,0.84
9,0.8
10,0.92
11,0.84
12,0.88
13,0.92
14,0.84
15,0.92
16,0.64
17,0.88
18,0.8
19,0.88
20,0.72
21,0.8
22,0.84
23,0.76
24,0.8
25,0.92
26,0.8
27,0.88
28,0.96
29,0.8
30,0.88
31,0.88
32,0.84
33,0.88
34,0.8
35,0.8
36,0.8
37,0.8
38,0.8
39,0.88
40,0.96
41,0.92
42,0.92
43,0.76
44,0.92
45,0.92
46,0.84
47,0.88
48,0.8
49,0.76
50,0.92
51,0.84
52,0.8
53,0.96
54,0.84
55,0.88
56,0.76
57,0.88
58,0.84
59,0.88
60,0.96
61,0.88
62,1.0
63,0.88
64,0.92
65,0.88
66,0.84
67,0.88
68,0.88
69,0.92
70,0.88
71,0.84
72,0.84
73,0.96
74,0.92
75,0.72
76,0.84
77,0.96
78,0.84
79,0.88
80,0.8
81,0.84
82,0.92
83,0.92
84,0.84
85,0.92
86,0.8
87,0.84
88,0.88
89,0.88
90,0.8
91,0.84
92,0.8
93,0.84
94,0.92
95,0.96
96,0.84
97,0.88
98,0.88
99,0.88
100,0.96
101,0.96
102,0.92
103,0.88
104,0.92
105,0.96
106,0.88
107,0.84
108,0.88
109,0.76
110,0.84
111,0.88
112,0.88
113,0.92
114,0.88
115,0.88
116,0.96
117,0.68
118,0.8
119,0.92
120,0.96
121,0.88
122,0.96
123,0.84
124,0.76
125,0.88
126,1.0
127,0.96
128,0.92
129,0.96
130,0.76
131,0.84
132,1.0
133,0.88
134,1.0
135,0.84
136,0.92
137,0.96
138,0.88
139,0.88
140,0.88
141,0.92
142,0.84
143,0.92
144,0.76
145,0.96
146,0.72
147,0.8
148,0.88
149,0.92
150,0.8
151,0.76
152,0.88
153,0.92
154,0.88
155,0.88
156,0.88
157,0.8
158,0.96
159,0.84
160,0.88
161,0.76
162,0.76
163,0.88
164,0.88
165,0.88
166,0.84
167,0.96
168,0.92
169,0.88
170,0.8
171,0.88
172,0.84
173,0.96
174,0.72
175,0.92
176,0.8
177,0.96
178,0.88
179,0.92
180,0.92
181,0.88
182,0.8
183,1.0
184,0.92
185,0.88
186,0.84
187,0.96
188,0.96
189,0.96
190,0.64
191,0.88
192,0.92
193,0.88
194,0.96
195,0.88
196,0.88
197,0.84
198,0.88
199,0.92
200,0.88
