,0
0,0.56
1,0.76
2,0.92
3,0.68
4,0.88
5,0.76
6,0.96
7,0.8
8,0.68
9,0.84
10,0.8
11,0.76
12,0.76
13,0.84
14,0.92
15,0.84
16,0.92
17,0.92
18,0.8
19,0.88
20,0.76
21,0.88
22,0.84
23,0.92
24,1.0
25,0.88
26,0.88
27,0.84
28,0.88
29,0.88
30,0.84
31,0.96
32,0.88
33,0.88
34,0.72
35,0.88
36,0.84
37,0.96
38,0.92
39,0.84
40,0.88
41,0.92
42,0.92
43,0.96
44,0.68
45,0.84
46,0.92
47,0.92
48,0.92
49,0.84
50,0.92
51,1.0
52,0.88
53,0.76
54,0.92
55,0.92
56,0.92
57,0.84
58,0.92
59,0.92
60,0.76
61,0.84
62,0.92
63,0.88
64,0.8
65,0.88
66,0.84
67,0.96
68,1.0
69,0.92
70,0.96
71,0.88
72,0.88
73,0.92
74,0.72
75,0.92
76,0.84
77,0.92
78,0.88
79,0.96
80,0.88
81,0.84
82,0.84
83,0.8
84,0.88
85,0.76
86,0.8
87,0.84
88,0.84
89,0.84
90,0.92
91,0.88
92,0.84
93,0.72
94,0.96
95,0.88
96,0.92
97,0.88
98,0.92
99,0.92
100,0.88
101,0.84
102,0.92
103,0.92
104,0.96
105,0.88
106,0.88
107,0.8
108,0.92
109,0.92
110,0.88
111,0.84
112,0.84
113,0.76
114,0.88
115,0.76
116,0.76
117,0.88
118,0.8
119,0.8
120,0.92
121,0.96
122,0.92
123,0.92
124,0.8
125,0.8
126,0.88
127,0.92
128,0.84
129,0.96
130,0.88
131,0.8
132,0.84
133,0.96
134,0.96
135,1.0
136,0.96
137,0.92
138,0.8
139,1.0
140,0.88
141,0.88
142,0.92
143,0.92
144,0.84
145,0.8
146,0.96
147,0.8
148,1.0
149,0.84
150,0.8
151,0.84
152,0.84
153,0.88
154,0.96
155,0.88
156,0.88
157,0.76
158,0.84
159,0.92
160,0.84
161,0.96
162,0.88
163,1.0
164,0.92
165,0.84
166,0.96
167,0.84
168,0.72
169,0.92
170,0.84
171,0.76
172,0.88
173,1.0
174,0.88
175,0.88
176,0.72
177,0.88
178,0.8
179,0.92
180,0.92
181,0.88
182,0.88
183,0.72
184,0.8
185,0.92
186,0.88
187,0.96
188,0.84
189,0.88
190,0.8
191,0.8
192,0.88
193,1.0
194,0.96
195,0.76
196,0.88
197,0.84
198,0.84
199,0.96
200,0.92
