,0
0,0.64
1,1.0
2,0.92
3,0.92
4,0.92
5,1.0
6,0.96
7,0.96
8,0.88
9,0.88
10,0.96
11,0.92
12,0.92
13,1.0
14,0.96
15,0.92
16,0.92
17,0.88
18,0.96
19,0.96
20,0.92
21,0.92
22,0.92
23,0.88
24,0.96
25,0.96
26,0.96
27,1.0
28,0.96
29,0.92
30,0.96
31,0.96
32,0.92
33,1.0
34,0.96
35,0.96
36,0.96
37,0.92
38,0.96
39,0.96
40,0.96
41,0.96
42,0.84
43,1.0
44,0.96
45,0.84
46,0.96
47,0.96
48,0.92
49,0.84
50,0.92
51,0.88
52,0.92
53,0.92
54,0.96
55,0.96
56,1.0
57,1.0
58,0.92
59,1.0
60,0.96
61,0.96
62,0.92
63,0.92
64,0.88
65,0.96
66,0.96
67,0.96
68,1.0
69,0.92
70,1.0
71,1.0
72,0.92
73,0.88
74,1.0
75,1.0
76,0.96
77,0.92
78,0.96
79,0.92
80,0.92
81,0.96
82,0.96
83,0.96
84,0.92
85,1.0
86,0.96
87,0.92
88,0.96
89,0.92
90,0.88
91,0.92
92,0.92
93,1.0
94,0.84
95,0.92
96,0.96
97,0.92
98,0.96
99,0.96
100,0.92
101,0.96
102,0.84
103,1.0
104,0.96
105,0.96
106,0.96
107,0.92
108,0.92
109,0.92
110,1.0
111,0.96
112,0.96
113,0.88
114,1.0
115,0.92
116,0.88
117,1.0
118,0.84
119,1.0
120,0.88
121,0.96
122,1.0
123,0.96
124,1.0
125,1.0
126,0.96
127,0.92
128,1.0
129,0.76
130,0.96
131,0.88
132,0.96
133,0.96
134,0.96
135,0.92
136,0.96
137,0.92
138,1.0
139,0.92
140,0.96
141,1.0
142,1.0
143,0.92
144,0.92
145,1.0
146,0.96
147,0.92
148,1.0
149,1.0
150,1.0
151,0.96
152,1.0
153,0.96
154,0.96
155,0.96
156,0.92
157,1.0
158,0.96
159,0.92
160,0.96
161,0.92
162,0.96
163,0.92
164,0.96
165,1.0
166,0.96
167,1.0
168,0.96
169,1.0
170,0.96
171,1.0
172,0.84
173,0.92
174,0.92
175,0.92
176,1.0
177,0.92
178,1.0
179,0.96
180,0.96
181,0.96
182,1.0
183,1.0
184,1.0
185,0.8
186,0.96
187,1.0
188,1.0
189,1.0
190,1.0
191,0.96
192,0.96
193,1.0
194,0.88
195,0.96
196,1.0
197,0.92
198,0.92
199,0.84
200,0.96
