,0
0,0.72
1,0.88
2,0.8
3,0.92
4,0.96
5,0.88
6,0.92
7,0.92
8,1.0
9,0.92
10,0.88
11,0.92
12,1.0
13,0.96
14,0.96
15,0.92
16,0.92
17,0.88
18,1.0
19,1.0
20,0.88
21,1.0
22,0.96
23,0.96
24,0.96
25,0.92
26,0.96
27,0.96
28,0.92
29,0.8
30,1.0
31,0.84
32,0.88
33,0.92
34,0.92
35,0.96
36,1.0
37,1.0
38,0.96
39,0.92
40,1.0
41,0.96
42,1.0
43,0.96
44,0.88
45,1.0
46,0.84
47,0.96
48,0.96
49,0.92
50,0.96
51,0.92
52,0.96
53,0.92
54,0.96
55,0.92
56,0.96
57,0.96
58,0.96
59,0.96
60,0.92
61,1.0
62,0.92
63,1.0
64,1.0
65,0.92
66,1.0
67,0.96
68,1.0
69,1.0
70,0.96
71,0.92
72,0.96
73,0.96
74,0.96
75,0.96
76,0.92
77,0.92
78,0.96
79,0.96
80,0.96
81,1.0
82,0.96
83,0.88
84,0.88
85,1.0
86,0.96
87,0.92
88,0.96
89,0.88
90,0.8
91,1.0
92,0.92
93,1.0
94,0.88
95,0.92
96,0.92
97,1.0
98,1.0
99,0.84
100,1.0
101,0.96
102,0.92
103,1.0
104,0.92
105,1.0
106,1.0
107,0.96
108,0.92
109,0.92
110,1.0
111,1.0
112,1.0
113,0.96
114,0.92
115,0.96
116,0.84
117,0.96
118,1.0
119,0.92
120,1.0
121,0.92
122,0.84
123,0.88
124,0.92
125,0.96
126,0.96
127,1.0
128,1.0
129,0.96
130,0.96
131,0.96
132,0.88
133,0.92
134,1.0
135,0.92
136,0.88
137,0.96
138,1.0
139,0.96
140,0.96
141,1.0
142,0.92
143,0.96
144,1.0
145,0.96
146,0.96
147,0.92
148,0.92
149,1.0
150,0.96
151,0.92
152,0.96
153,0.96
154,0.92
155,0.92
156,0.8
157,0.96
158,1.0
159,0.96
160,1.0
161,0.96
162,1.0
163,0.96
164,0.96
165,0.96
166,0.92
167,0.96
168,0.88
169,0.88
170,0.96
171,0.92
172,0.96
173,0.96
174,1.0
175,1.0
176,0.96
177,0.92
178,0.84
179,0.88
180,0.88
181,0.92
182,0.96
183,0.96
184,0.96
185,0.92
186,0.92
187,0.92
188,0.88
189,0.96
190,0.96
191,0.92
192,0.88
193,0.92
194,0.92
195,0.96
196,0.96
197,1.0
198,0.92
199,0.96
200,1.0
