,0
0,0.8
1,0.92
2,0.96
3,0.92
4,0.96
5,0.92
6,0.84
7,0.92
8,0.96
9,1.0
10,0.92
11,0.96
12,1.0
13,0.92
14,0.96
15,0.92
16,0.96
17,0.88
18,0.92
19,0.88
20,0.92
21,0.96
22,0.96
23,0.96
24,0.92
25,0.92
26,0.88
27,1.0
28,0.88
29,0.96
30,0.92
31,0.92
32,0.88
33,1.0
34,0.92
35,1.0
36,0.96
37,0.92
38,1.0
39,0.88
40,0.8
41,0.92
42,1.0
43,0.84
44,1.0
45,1.0
46,0.92
47,1.0
48,0.88
49,0.96
50,0.96
51,0.96
52,0.96
53,1.0
54,0.92
55,0.96
56,1.0
57,0.96
58,0.92
59,1.0
60,0.96
61,1.0
62,0.96
63,0.92
64,0.96
65,0.92
66,1.0
67,0.96
68,1.0
69,0.96
70,0.92
71,0.92
72,0.92
73,0.92
74,1.0
75,0.92
76,0.92
77,1.0
78,0.96
79,0.92
80,0.88
81,0.92
82,1.0
83,0.96
84,0.96
85,1.0
86,1.0
87,0.96
88,0.88
89,1.0
90,1.0
91,0.96
92,1.0
93,1.0
94,1.0
95,0.92
96,0.92
97,0.96
98,0.96
99,0.88
100,0.96
101,0.92
102,0.92
103,0.92
104,0.96
105,1.0
106,0.92
107,0.96
108,0.92
109,0.88
110,0.88
111,1.0
112,0.96
113,0.96
114,1.0
115,0.96
116,0.96
117,0.92
118,0.96
119,1.0
120,1.0
121,1.0
122,0.96
123,1.0
124,0.88
125,0.84
126,1.0
127,0.96
128,0.96
129,0.92
130,1.0
131,0.88
132,0.84
133,0.96
134,0.92
135,0.92
136,1.0
137,1.0
138,1.0
139,0.88
140,0.92
141,0.96
142,1.0
143,0.92
144,0.96
145,0.88
146,0.96
147,0.92
148,0.96
149,0.96
150,0.92
151,1.0
152,0.96
153,1.0
154,1.0
155,0.96
156,0.96
157,0.88
158,0.8
159,1.0
160,1.0
161,0.96
162,1.0
163,0.96
164,0.92
165,0.92
166,0.92
167,0.92
168,1.0
169,0.88
170,0.84
171,1.0
172,0.92
173,0.96
174,1.0
175,0.92
176,0.96
177,0.88
178,0.84
179,0.92
180,1.0
181,0.92
182,1.0
183,0.96
184,0.92
185,0.88
186,1.0
187,0.96
188,0.88
189,0.96
190,1.0
191,0.96
192,0.92
193,1.0
194,1.0
195,0.84
196,0.96
197,0.92
198,0.96
199,0.96
200,0.92
