,0
0,0.48
1,0.84
2,0.76
3,0.76
4,0.88
5,0.8
6,0.8
7,0.88
8,0.84
9,0.64
10,0.88
11,0.92
12,0.96
13,0.92
14,0.96
15,0.92
16,0.96
17,0.8
18,0.88
19,0.96
20,0.68
21,0.84
22,0.72
23,0.96
24,0.92
25,0.84
26,0.92
27,0.88
28,0.96
29,0.88
30,0.92
31,1.0
32,0.8
33,0.92
34,0.88
35,0.84
36,0.76
37,0.8
38,0.88
39,0.96
40,0.84
41,0.88
42,0.92
43,0.92
44,0.92
45,0.96
46,0.92
47,0.96
48,0.96
49,0.8
50,0.8
51,0.92
52,0.88
53,0.92
54,0.84
55,0.96
56,0.8
57,0.96
58,0.92
59,0.88
60,0.92
61,0.92
62,0.92
63,0.96
64,0.84
65,0.84
66,0.96
67,0.96
68,0.96
69,0.88
70,0.96
71,0.92
72,0.84
73,0.92
74,0.92
75,0.96
76,0.96
77,0.84
78,0.88
79,0.84
80,0.84
81,0.8
82,0.92
83,0.96
84,0.84
85,0.84
86,0.76
87,0.92
88,0.88
89,0.88
90,0.96
91,0.92
92,0.92
93,0.96
94,0.92
95,0.88
96,0.88
97,0.96
98,0.88
99,0.88
100,0.88
101,0.96
102,0.96
103,0.96
104,0.88
105,0.92
106,0.88
107,0.96
108,0.92
109,0.96
110,0.96
111,0.92
112,0.88
113,0.88
114,0.96
115,0.96
116,0.88
117,0.92
118,0.88
119,0.96
120,0.92
121,0.96
122,0.96
123,0.92
124,0.92
125,0.96
126,0.92
127,0.88
128,0.96
129,0.88
130,0.88
131,0.96
132,0.92
133,0.92
134,0.96
135,0.96
136,0.84
137,0.96
138,0.92
139,0.96
140,0.92
141,0.88
142,1.0
143,0.84
144,0.92
145,0.92
146,1.0
147,0.92
148,0.88
149,0.92
150,0.92
151,0.88
152,0.96
153,0.92
154,0.96
155,0.92
156,0.92
157,0.88
158,0.92
159,0.76
160,1.0
161,1.0
162,0.88
163,1.0
164,0.96
165,0.88
166,0.8
167,0.92
168,0.92
169,0.96
170,0.92
171,0.88
172,0.96
173,0.96
174,0.88
175,0.92
176,0.92
177,0.92
178,0.84
179,1.0
180,0.92
181,0.88
182,0.92
183,0.96
184,1.0
185,1.0
186,1.0
187,1.0
188,0.92
189,1.0
190,0.88
191,0.88
192,0.88
193,0.92
194,1.0
195,1.0
196,0.92
197,0.96
198,0.84
199,1.0
200,0.88
