,0
0,0.6
1,0.8
2,0.9333333333333333
3,0.8
4,0.7333333333333333
5,1.0
6,0.7333333333333333
7,0.6666666666666666
8,0.8
9,0.9333333333333333
10,0.9333333333333333
11,1.0
12,0.9333333333333333
13,0.9333333333333333
14,0.6666666666666666
15,0.8666666666666667
16,0.8666666666666667
17,0.8
18,0.8
19,0.9333333333333333
20,0.8666666666666667
21,0.8
22,0.9333333333333333
23,0.6666666666666666
24,0.9333333333333333
25,0.8666666666666667
26,0.7333333333333333
27,0.9333333333333333
28,0.8
29,0.8666666666666667
30,0.7333333333333333
31,0.8
32,0.9333333333333333
33,0.8
34,1.0
35,0.8666666666666667
36,0.8666666666666667
37,0.9333333333333333
38,0.8666666666666667
39,0.9333333333333333
40,0.9333333333333333
41,0.9333333333333333
42,0.8666666666666667
43,0.9333333333333333
44,0.8666666666666667
45,1.0
46,0.8666666666666667
47,1.0
48,0.9333333333333333
49,0.8666666666666667
50,0.8666666666666667
