,0,1
0,0.64,0
1,0.6,0
2,0.68,0
3,0.88,0
4,0.68,0
5,0.6,0
6,0.76,0
7,0.8,0
8,0.6,0
9,0.68,0
10,0.68,0
11,0.52,0
12,0.72,0
13,0.56,0
14,0.52,0
15,0.72,0
16,0.68,0
17,0.72,0
18,0.68,0
19,0.8,0
20,0.72,0
21,0.76,0
22,0.88,0
23,0.64,0
24,0.68,0
25,0.72,0
26,0.6,0
27,0.64,0
28,0.76,0
29,0.6,0
30,0.8,0
31,0.52,0
32,0.72,0
33,0.6,0
34,0.68,0
35,0.88,0
36,0.84,0
37,0.68,0
38,0.8,0
39,0.68,0
40,0.64,0
41,0.76,0
42,0.72,0
43,0.64,0
44,0.8,0
45,0.68,0
46,0.84,0
47,0.76,0
48,0.68,0
49,0.76,0
50,0.68,0
51,0.72,0
52,0.68,0
53,0.8,0
54,0.6,0
55,0.8,0
56,0.56,0
57,0.72,0
58,0.76,0
59,0.68,0
60,0.6,0
61,0.48,0
62,0.76,0
63,0.76,0
64,0.72,0
65,0.72,0
66,0.68,0
67,0.56,0
68,0.76,0
69,0.84,0
70,0.84,0
71,0.56,0
72,0.8,0
73,0.6,0
74,0.72,0
75,0.56,0
76,0.76,0
77,0.72,0
78,0.68,1
79,0.8,0
80,0.68,0
81,0.56,0
82,0.56,0
83,0.56,0
84,0.68,0
85,0.64,0
86,0.6,0
87,0.52,0
88,0.52,0
89,0.44,0
90,0.56,0
91,0.44,0
92,0.64,0
93,0.68,0
94,0.48,0
95,0.72,0
96,0.52,0
97,0.48,0
98,0.32,0
99,0.44,0
100,0.44,0
101,0.44,0
102,0.44,0
103,0.6,0
104,0.4,0
105,0.48,0
106,0.64,0
107,0.6,0
108,0.56,0
109,0.6,0
110,0.52,0
111,0.64,0
112,0.56,0
113,0.48,0
114,0.48,0
115,0.6,0
116,0.6,0
117,0.52,0
118,0.56,0
119,0.52,0
120,0.48,0
121,0.52,0
122,0.4,0
123,0.48,0
124,0.6,0
125,0.52,0
126,0.36,0
127,0.48,0
128,0.52,0
129,0.56,0
130,0.32,0
131,0.32,0
132,0.44,0
133,0.56,0
134,0.44,0
135,0.52,0
136,0.4,0
137,0.48,0
138,0.72,0
139,0.48,0
140,0.52,0
141,0.76,0
142,0.48,0
143,0.56,0
144,0.6,0
145,0.52,0
146,0.68,0
147,0.6,0
148,0.56,0
149,0.68,0
150,0.8,0
151,0.68,0
152,0.72,0
153,0.56,0
154,0.6,0
155,0.56,0
156,0.64,0
157,0.84,0
158,0.68,0
159,0.64,0
160,0.6,0
161,0.56,0
162,0.64,0
163,0.56,0
164,0.64,0
165,0.72,0
166,0.88,0
167,0.76,0
168,0.64,0
169,0.6,0
170,0.56,0
171,0.68,0
172,0.6,0
173,0.76,0
174,0.88,0
175,0.8,0
176,0.6,0
177,0.8,0
178,0.56,0
179,0.52,0
180,0.64,0
181,0.64,0
182,0.84,0
183,0.68,0
184,0.84,0
185,0.72,0
186,0.84,0
187,0.84,0
188,0.64,0
189,0.88,0
190,0.76,0
191,0.64,0
192,0.68,0
193,0.8,0
194,0.72,0
195,0.68,0
196,0.72,0
197,0.72,0
198,0.56,0
199,0.72,0
200,0.76,0
