,0,1
0,0.52,0
1,0.64,0
2,0.64,0
3,0.56,0
4,0.68,0
5,0.64,0
6,0.84,0
7,0.64,0
8,0.68,0
9,0.72,0
10,0.56,0
11,0.8,0
12,0.76,0
13,0.72,0
14,0.56,0
15,0.48,0
16,0.8,0
17,0.56,0
18,0.6,0
19,0.64,0
20,0.64,0
21,0.64,0
22,0.68,0
23,0.8,0
24,0.76,0
25,0.92,0
26,0.6,0
27,0.84,0
28,0.68,0
29,0.64,0
30,0.84,0
31,0.64,0
32,0.68,0
33,0.64,0
34,0.6,0
35,0.56,0
36,0.64,0
37,0.6,0
38,0.68,0
39,0.72,0
40,0.88,0
41,0.68,0
42,0.72,0
43,0.76,0
44,0.64,0
45,0.6,0
46,0.76,0
47,0.68,0
48,0.72,0
49,0.68,0
50,0.88,0
51,0.64,1
52,0.64,0
53,0.52,0
54,0.68,0
55,0.68,0
56,0.52,0
57,0.8,0
58,0.68,0
59,0.64,0
60,0.68,0
61,0.56,0
62,0.68,0
63,0.6,0
64,0.68,0
65,0.48,0
66,0.56,0
67,0.56,0
68,0.64,0
69,0.64,0
70,0.72,0
71,0.64,0
72,0.8,0
73,0.72,0
74,0.72,0
75,0.6,0
76,0.84,0
77,0.52,0
78,0.84,0
79,0.68,0
80,0.68,0
81,0.8,0
82,0.64,0
83,0.72,0
84,0.56,0
85,0.6,0
86,0.56,0
87,0.72,0
88,0.64,0
89,0.68,0
90,0.72,0
91,0.76,0
92,0.68,0
93,0.72,0
94,0.6,0
95,0.68,0
96,0.8,0
97,0.72,0
98,0.72,0
99,0.76,0
100,0.68,0
101,0.76,0
102,0.76,0
103,0.6,0
104,0.68,0
105,0.92,0
106,0.48,0
107,0.64,0
108,0.72,0
109,0.72,0
110,0.56,0
111,0.76,0
112,0.88,0
113,0.72,0
114,0.68,0
115,0.56,0
116,0.48,0
117,0.6,0
118,0.72,0
119,0.84,0
120,0.68,0
121,0.68,0
122,0.8,0
123,0.72,0
124,0.6,0
125,0.6,0
126,0.72,0
127,0.72,0
128,0.72,0
129,0.68,0
130,0.6,0
131,0.6,0
132,0.64,0
133,0.64,0
134,0.72,0
135,0.76,0
136,0.6,0
137,0.52,0
138,0.64,0
139,0.88,0
140,0.56,0
141,0.88,0
142,0.8,0
143,0.68,0
144,0.72,0
145,0.72,0
146,0.72,0
147,0.8,0
148,0.72,0
149,0.72,0
150,0.64,0
151,0.76,0
152,0.64,0
153,0.72,0
154,0.68,0
155,0.6,0
156,0.68,0
157,0.68,0
158,0.6,0
159,0.64,0
160,0.56,0
161,0.76,0
162,0.68,0
163,0.8,0
164,0.6,0
165,0.64,0
166,0.56,0
167,0.64,0
168,0.68,0
169,0.6,0
170,0.76,0
171,0.88,0
172,0.76,0
173,0.6,0
174,0.52,0
175,0.88,0
176,0.76,0
177,0.52,0
178,0.8,0
179,0.76,0
180,0.68,0
181,0.72,0
182,0.8,0
183,0.92,0
184,0.68,0
185,0.68,0
186,0.8,0
187,0.76,0
188,0.64,0
189,0.8,0
190,0.8,0
191,0.56,0
192,0.76,0
193,0.76,0
194,0.6,0
195,0.68,0
196,0.88,0
197,0.6,0
198,0.76,0
199,0.76,0
200,0.76,0
